elapsed_s,gpu_uuid,clock_mhz,memory_clock_mhz,temperature_c,power_w,utilization_pct
0.157,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,1132,13801,42,53.57,10
5.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2595,13801,60,574.95,100
10.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2587,13801,62,575.03,100
15.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2565,13801,64,574.92,100
20.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2572,13801,66,574.99,100
25.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2565,13801,67,575.02,100
30.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2565,13801,69,575.00,100
35.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2550,13801,70,574.99,100
40.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2542,13801,71,575.02,100
45.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2542,13801,71,574.91,100
50.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2535,13801,72,574.90,100
55.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2535,13801,72,575.01,100
60.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2535,13801,73,574.97,100
65.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2535,13801,72,574.96,100
70.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2535,13801,73,575.01,100
75.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2535,13801,73,574.93,100
80.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2535,13801,73,574.92,100
85.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2535,13801,73,574.96,100
90.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2535,13801,73,574.96,100
95.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.89,100
100.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2535,13801,73,576.34,100
105.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.93,100
110.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.93,100
115.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.97,100
120.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,74,574.93,100
125.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.91,100
130.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,74,575.07,100
135.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.04,100
140.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,74,574.87,100
145.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,74,575.13,100
150.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2535,13801,74,575.03,100
155.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2535,13801,74,574.99,100
160.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,74,574.90,100
165.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,74,574.92,100
170.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,74,574.91,100
175.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,74,575.04,100
180.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,74,574.94,100
185.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,74,575.05,100
190.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.86,100
195.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2542,13801,74,575.07,100
200.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2512,13801,74,574.90,100
205.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2512,13801,74,574.97,100
210.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,74,575.63,100
215.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.88,100
